Feature,Importance
student_id_STU07419,2.460619474297908e-05
student_id_STU04823,2.4577199139261855e-05
student_id_STU04271,2.4572441736392705e-05
student_id_STU01781,2.451975238276112e-05
student_id_STU03605,2.4505394410707053e-05
student_id_STU02760,2.4490179165745087e-05
student_id_STU06663,2.4434501643265078e-05
student_id_STU08703,2.4417858872570998e-05
student_id_STU09613,2.441486751631503e-05
student_id_STU00302,2.440585239251829e-05
student_id_STU03508,2.4392147667053064e-05
student_id_STU00658,2.437202242960421e-05
student_id_STU00519,2.4351763829792583e-05
student_id_STU00779,2.4332526649725464e-05
student_id_STU06484,2.433093948166302e-05
student_id_STU04958,2.4330316649383393e-05
student_id_STU04330,2.4281011852374087e-05
student_id_STU02215,2.4279900595395702e-05
student_id_STU07280,2.4270119402822593e-05
student_id_STU07866,2.419358724872784e-05
student_id_STU03635,2.4189550636745098e-05
student_id_STU06990,2.4185362357858576e-05
student_id_STU06054,2.4171334012703922e-05
student_id_STU02668,2.41539910173352e-05
student_id_STU02747,2.4125267011500604e-05
student_id_STU04979,2.4100850696296263e-05
student_id_STU05191,2.40012501387905e-05
student_id_STU08880,2.3952212602453614e-05
student_id_STU07089,2.3918773534949758e-05
student_id_STU00376,2.389981395910787e-05
student_id_STU00269,2.3851837830009952e-05
student_id_STU09018,2.3848470818604338e-05
student_id_STU04495,2.384272913774205e-05
student_id_STU05424,2.383407234313942e-05
student_id_STU00810,2.3769994849076477e-05
student_id_STU01279,2.376854259228641e-05
student_id_STU06170,2.3736664433926913e-05
student_id_STU04407,2.3731554304620128e-05
student_id_STU09115,2.371300216391911e-05
student_id_STU05355,2.369390546824281e-05
student_id_STU01565,2.3667255153353e-05
student_id_STU08473,2.3656696006629224e-05
student_id_STU06366,2.3632287975572994e-05
student_id_STU09137,2.3590528242196786e-05
student_id_STU04478,2.358610355319578e-05
student_id_STU03574,2.356264841997632e-05
student_id_STU00457,2.3552460683603584e-05
student_id_STU09963,2.3527438937134503e-05
student_id_STU04714,2.350272220028282e-05
student_id_STU09118,2.3495746397833742e-05
student_id_STU09404,2.348475532634107e-05
student_id_STU07303,2.3456537010326026e-05
student_id_STU06926,2.3437681322789574e-05
student_id_STU07211,2.339778435811732e-05
student_id_STU07844,2.3370603810176034e-05
student_id_STU08733,2.3365434512153455e-05
student_id_STU06116,2.3313705463031727e-05
student_id_STU05667,2.3285753998245833e-05
student_id_STU08341,2.327893181986412e-05
student_id_STU04302,2.3274700983673625e-05
student_id_STU09702,2.3258475111106314e-05
student_id_STU07369,2.3251362124418157e-05
student_id_STU09040,2.3242068216774842e-05
student_id_STU03843,2.3219331248580122e-05
student_id_STU07333,2.3169421657303808e-05
student_id_STU09248,2.316598626741408e-05
student_id_STU02951,2.315620078184456e-05
student_id_STU09472,2.3149275749287643e-05
student_id_STU06995,2.3144193207923988e-05
student_id_STU09757,2.3083546764833583e-05
student_id_STU06682,2.3057401695188715e-05
student_id_STU04722,2.3055069574553406e-05
student_id_STU04789,2.3004706296937998e-05
student_id_STU05349,2.299648764016517e-05
